Country or region,Neighbor
Afghanistan,China
Afghanistan,Iran
Afghanistan,Pakistan
Afghanistan,Tajikistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Albania,Greece
Albania,Italy
Albania,Montenegro
Albania,North Macedonia
Albania,Kosovo
Algeria,Italy
Algeria,Libya
Algeria,Mali
Algeria,Mauritania
Algeria,Morocco
Algeria,Niger
Algeria,Spain
Algeria,Tunisia
Argentina,Bolivia
Argentina,Brazil
Argentina,Chile
Argentina,Paraguay
Argentina,Uruguay
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Iran
Armenia,Turkey
Australia,Indonesia
Australia,New Zealand
Australia,Indonesia
Australia,New Zealand
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Azerbaijan,Armenia
Azerbaijan,Georgia
Azerbaijan,Iran
Azerbaijan,Kazakhstan
Azerbaijan,Russia
Azerbaijan,Turkey
Azerbaijan,Turkmenistan
Bahrain,Iran
Bahrain,Qatar
Bahrain,Saudi Arabia
Bangladesh,Myanmar
Bangladesh,India
Belarus,Latvia
Belarus,Lithuania
Belarus,Poland
Belarus,Russia
Belarus,Ukraine
Belgium,France
Belgium,Germany
Belgium,Luxembourg
Belgium,Netherlands
Belgium,United Kingdom
Benin,Niger
Benin,Nigeria
Benin,Togo
Bhutan,China
Bhutan,India
Bolivia,Argentina
Bolivia,Brazil
Bolivia,Chile
Bolivia,Paraguay
Bolivia,Peru
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Serbia
Botswana,Namibia
Botswana,South Africa
Botswana,Zambia
Botswana,Zimbabwe
Brazil,Argentina
Brazil,Bolivia
Brazil,Colombia
Brazil,France
Brazil,Paraguay
Brazil,Peru
Brazil,Uruguay
Brazil,Venezuela
Bulgaria,Greece
Bulgaria,North Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Bulgaria,Turkey
Burkina Faso,Benin
Burkina Faso,Ivory Coast
Burkina Faso,Ghana
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Togo
